video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"-5q5mZbe3V8","BTS (방탄소년단) 'Life Goes On' Official MV","2020-11-20T04:58:11Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.20.11","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","47211536","5549663","16398","2552266","https://i.ytimg.com/vi/-5q5mZbe3V8/default.jpg","False","False","BTS (방탄소년단) 'Life Goes On' Official MVCredits:Director: Jeon Jung KookAssistant Director: Yong Seok Choi, Jihye Yoon (Lumpens)Photo: Nu KimDirector of Photography: Hyunwoo Nam (GDW)Focus Puller: Sangwoo Yun2nd AC: Eunki Kim3rd AC: Kyuwon SeoGaffer: Choi Doo Soo (DS LIGHT)Lighting Crew: Jung Yu Jin, Kim Jun O, Lee Seong Min, Kim Sung Wook, Lee HyunsuArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang, Minjung Kim (MU:E)Art-team Manager: ilho Heo (MU:E)Visual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Cha Yeon HwaArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung Min, Lee Hyeon KiBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #LifeGoesOn #BTS_BE #MV"
"MPbUaIZAaeA","Shawn Mendes, Justin Bieber - Monster","2020-11-20T05:00:11Z","UC4-TgOSMJHn-LtY4zCzbQhw","ShawnMendesVEVO","10","20.20.11","Shawn|Mendes|Justin|Bieber|Monster|LP4-5|PS/|Island|Pop","7560401","1287220","12231","81853","https://i.ytimg.com/vi/MPbUaIZAaeA/default.jpg","False","False","Listen to “Monster” now: https://Monster.lnk.to/Single New album WONDER from Shawn Mendes available Dec 4thPre-order now: https://wonder.lnk.to/Album Listen to Holy + Lonely from Justin Bieberhttps://justinbieber.lnk.to/OutNow Directed by: Colin TilleyProduced by: Jack WinterCreative Direction: Connor Brashier Follow Shawn:Instagram | https://www.instagram.com/shawnmendes/Twitter | https://twitter.com/ShawnMendesFacebook | https://www.facebook.com/ShawnMendesOfficialTikTok | https://www.tiktok.com/@shawnmendesWebsite | http://www.shawnmendesofficial.com/ Follow Justin:Instagram | http://instagram.com/justinbieberTwitter | http://twitter.com/justinbieberFacebook | http://facebook.com/justinbieberTikTok | https://www.tiktok.com/@justinbieberWebsite | https://www.justinbiebermusic.com/Lyrics:You put me on a pedestal and tell me I’m the bestRaise me up into the sky until I’m short of breathFill me up with confidence, I say what’s in my chestSpill my words and tear me down until there’s nothing leftRearrange the pieces just to fit me with the restBut what if I what if I trip, what if I what if I fallThen am I the monster yeah, just let me knowwhat if I what if I sin, what if I what if I breakThen am I the monster yeah, just let me know yeaahhhI was 15 when the world put me on a pedestalI had big dreams of doing shows and making memories Made some bad moves trying to act cool upset by their jealousyLifting me up, lifting me up, yeah and tearing me down, tearing me down, down, down,Take responsibility for everything I’ve done, holding it against me like you’re the holy oneI had a chip on my shoulder, had to let it goCause unforgiveness keeps them in control, I came in with good intentions then I let it goAnd now I really wanna knowWhat if I what if I trip, what if I what if I fall, I fallThen am I the monster, just let me knowwhat if I what if I sin, what if I what if I break yeahThen am I the monster, just let me knowPlease just let me knowPlease don’t let me fallOh please don’t let me fallWhat if I’m the monster, what if I’m the monster yeahMusic video by Shawn Mendes, Justin Bieber performing Monster. © 2020 Island Records/Def Jam Recordings, a division of UMG Recordings, Inc."
"0ir1qkPXPVM","Miley Cyrus - Prisoner (Official Video) ft. Dua Lipa","2020-11-20T00:00:10Z","UCdI8evszfZvyAl2UVCypkTA","MileyCyrusVEVO","10","20.20.11","miley cyrus dua lipa|dua lipa miley cyrus|miley dua|miley cyrus dua lipa prisoner|prisoner miley cyrus dua lipa|miley cyrus prisoner|dua lipa prisoner|miley dua collab|prisoner video|prisoner lyrics|miley prisoner lyrics|dua lipa prisoner lyrics|miley cyrus prisoner lyrics|miley cyrus prisoner music video|miley cyrus dua lipa prisoner video|dua lipa|prisoner miley cyrus|dua lipa levitating|prisoner|lyrics|miley|cyrus","5738037","545083","11833","32628","https://i.ytimg.com/vi/0ir1qkPXPVM/default.jpg","False","False","Miley’s new album Plastic Hearts is available November 27th. Pre-Order Now: https://mileyl.ink/PlasticHeartsGet Miley's new single Prisoner feat. Dua Lipa: https://mileyl.ink/Prisoner Directed By Alana O’Herlihy & Miley Cyrus View merch at Miley’s official store now! https://smarturl.it/MileyStore?iQid=yt  Follow Miley on Spotify, Apple Music or Deezer to get new music as soon as it’s out: https://smarturl.it/FollowMC?iQid=yt Connect with MileyFacebook: https://mileyl.ink/facebook Twitter: https://mileyl.ink/twitter Instagram: https://mileyl.ink/instagram Snapchat: https://mileyl.ink/snapchat Tiktok: https://mileyl.ink/tiktok Site: http://www.mileycyrus.comLYRICSPrisoner, prisonerLocked up, can’t get you off my mindOff my mindLord knows I tried a million timesMillion times Oh whoa Why can’t you, why can’t you Just let me go Strung out on a feeling My hands are tiedYour face on my ceilingI fantasizeOh I can’t control it, I can’t control it I try to replace itWith city lightsI’ll never escape itI need the highOh I can’t control it, I can’t control it You keep making it harder to stay But I still can’t run away I gotta know why can’t you Why can’t you Just let me go Prisoner, prisonerLocked up, can’t get you off my mindOff my mindLord knows I tried a million timesMillion times Oh whoa Why can’t you, why can’t you Just let me go Prisoner, prisonerLocked up, can’t get you off my mindOff my mindLord knows I tried a million timesMillion times Oh whoa Why can’t you, why can’t you Just let me go I tasted heaven now I can’t live without itI can’t forget you and your love is the loudestOh I can’t control it, I can’t control it You keep making it harder to stay Oh whoaBut I still can’t run away I gotta know why can’t you Why can’t you Just let me go Prisoner, prisonerLocked up, can’t get you off my mindOff my mindLord knows I tried a million timesMillion times Oh whoa Why can’t you, why can’t you Just let me go Prisoner, prisonerLocked up, can’t get you off my mindOff my mindLord knows I tried a million timesMillion times Oh whoa Why can’t you, why can’t you Just let me go PrisonerCan’t get you off my mindWhy can’t you just let me goMillion timesI wanna know why can’t you Why can’t you I wanna know why can’t you Why can’t you I gotta know why can’t you Why can’t you Just let me goCREDITS:DOP: Kevin HaydenProduction Designer: Nicholas Des JardinsProduction Company: FreenjoyEditor: William Town at Modern PostVFX:Grier DillPost Production Supervisor: Louise Mérat at Streeters#MileyCyrus #Prisoner #DuaLipa #PlasticHearts #Pop"
"amnspvOH-EE","Blue & Grey","2020-11-20T05:37:35Z","UC9vrvNSL3xcWGSkV86REBSg","BTS - Topic","10","20.20.11","BTS (방탄소년단)|BTS|BE|Blue & Grey","2977127","753262","1537","33840","https://i.ytimg.com/vi/amnspvOH-EE/default.jpg","False","False","Provided to YouTube by 'BigHit Entertainment'Blue & Grey · BTS (방탄소년단)BEReleased on: 2020-11-20Auto-generated by YouTube."
"ey-8Q92nIVs","Gustavo Mioto - Despedida De Casal","2020-11-19T14:00:09Z","UCD4HDLHQudgWfyq0m6oGXUQ","GustavoMiotoVEVO","10","20.20.11","Gustavo|Mioto|Despedida|Casal|Universal|Music|Ltda.|Sertanejo|impressionando os anjos|solteiro não trai|sertanejo 2020|despedida de casal|com ou sem mim|contramao|jorge e mateus|anitta|fake news|ep pé na areia","912500","64003","1347","4511","https://i.ytimg.com/vi/ey-8Q92nIVs/default.jpg","False","False","Clique e ouça: https://umusicbrazil.lnk.to/DespedidadeCasalInstagram: https://www.instagram.com/gustavopmiotoFacebook: https://www.facebook.com/gumiotoTwitter: https://twitter.com/gustavopmiotoDespedida de Casal - Participação Especial: Álvaro / Gkay / Camila Loures / Lucas Guedes(Francisco Benicio de Sá Neto, Gabriel do Cavaco e Flavinho do Kadet)Mesa pra dois num restaurante chiqueVinho chileno, na entrada um cevicheToda cheirosa, fez até penteadoBatom vermelho e vestido coladoEla passou a noite sorrindoFalou que eu tava lindoQueria que a noite fosse inesquecívelE foiFoi nosso jantar à luz de adeusNossa despedida de casalEla terminou sem derramar nenhuma lágrimaE eu ainda não digeri esse finalFoi nosso jantar à luz de adeusNossa despedida de casalEla terminou sem derramar nenhuma lágrimaE eu ainda não digeri esse finalTá engasgado aqui aquele tchau (tchau, tchau, tchau)Mesa pra dois num restaurante chiqueVinho chileno, na entrada um cevicheToda cheirosa, fez até penteadoBatom vermelho e vestido coladoEla passou a noite sorrindoFalou que eu tava lindoQueria que a noite fosse inesquecívelE foiFoi nosso jantar à luz de adeusNossa despedida de casalEla terminou sem derramar nenhuma lágrimaE eu ainda não digeri esse finalFoi nosso jantar à luz de adeusNossa despedida de casalEla terminou sem derramar nenhuma lágrimaE eu ainda não digeri esse finalTá engasgado aqui aquele tchau (tchau, tchau, tchau)Ficha TécnicaDireção de A&R: Miguel Cariello e Henrique BadkeGerente de A&R: Daniel RigonCoordenação de A&R: Alice BaldanLabel Manager: Marcella Moreira Produção Musical: Neto SchaferDireção de Vídeo: Mess SantosAssistente de Direção: Nathalia BacciDireção de Fotografia: Mess SantosRoteiro: Livia Elektra Edição: Nathalia BacciProdução Geral: Ivo NetoDireção de Arte: Nathalia BacciAssistentes Arte: Roberta Torido / Pedro Millan / Samuel BorgesAtriz: Stella AbreuFigurino: Ziza Assistente Figurino: Carolina SabinoMake: Patricia Monaco Assistente Make: Silvia BritoOperador de Câmera: William SamurayAssistentes Câmera: Munir Saliby / Juca Tancredi Logger: Diego Freitas Gaffers: Robson Silva / Thiago ZumbiAssistente Geral: Jefferson Tube Produtora - Movie3 Filmes#DespedidadeCasal #GustavoMiotoMusic video by Gustavo Mioto performing Despedida De Casal. © 2020 Universal Music Ltdahttp://vevo.ly/hs0J54"
"YSuOwf24psk","내 방을 여행하는 법","2020-11-20T05:37:27Z","UC9vrvNSL3xcWGSkV86REBSg","BTS - Topic","10","20.20.11","BTS (방탄소년단)|BTS|BE|내 방을 여행하는 법|Fly To My Room","2156608","501811","701","17007","https://i.ytimg.com/vi/YSuOwf24psk/default.jpg","False","False","Provided to YouTube by 'BigHit Entertainment'내 방을 여행하는 법 · BTS (방탄소년단)BEReleased on: 2020-11-20Auto-generated by YouTube."
"mCunEZ7YUFw","São Paulo 3 x 0 Flamengo - opinião do Zico sobre a eliminação na Copa do Brasil","2020-11-19T21:00:19Z","UCdS5sqt3r7wkTtaPgkfiIEQ","Canal Zico 10","17","20.20.11","zico|zico 10|canal zico|são paulo x flamengo|são paulo e flamengo|rogério ceni flamengo|mengão|fla tv|tv fla|paparazzo rn|flazoeiro|mauro cezar|gerson canhotinha|notícias do flamengo|flamengo hoje|futebol|vitinho|bruno henrique|hugo neneca|arrascaeta|willian arão|everton ribeiro|copa do brasil 2020|libertadores|brasileirão|brenner|pablo|luciano|fernando diniz|de placa|fox sports|sportv","382394","29893","533","2124","https://i.ytimg.com/vi/mCunEZ7YUFw/default.jpg","False","False","Galinho comenta os lances da dura derrota no Morumbi e critica o desempenho ruim do Flamengo no segundo tempo. Zico cita as falhas de marcação do setor defensivo, a má pontaria dos atacantes, os seguidos erros nos pênaltis e a falta de preparo físico dos jogadores.#CanalZico10 #CopaDoBrasil👉 SE INSCREVE AÍ - http://bit.ly/seinscrevenocanalzico10👕⚽ Camisas exclusivas do Zico: http://www.lojadozico.com.br@CANALZICO10 NAS REDES SOCIAIS:INSTAGRAM - http://www.instagram.com/canalzico10 FACEBOOK - http://www.facebook.com/canalzico10 TWITTER - http://www.twitter.com/canalzico10"
"FjEd6WGcmrg","ESTOU GRÁVIDA !! | Maru e Bomba","2020-11-19T15:00:10Z","UCyJHXAjrr97S5EfvXazORqA","Maru e Bomba","24","20.20.11","maru e bomba|maru e bombom|blog das irmas|estou gravida|GRAVIDA|SURPESA ESTOU GRAVIDA|MARU GRAVIDA|MARCELY TUZAKI GRAVIDA|MARU E BOMBA GRAVIDOS|MARU E BOMBOM GRAVIDOS|MARU E BOMBA GRAVIDA|GRAVIDEZ DA MARU|TESTE DE GRAVIDEZ DA MARU|MARU FEZ TESTE DE GRAVIDEZ|MARU MAMAE|MARU MAE|BOMBA PAPAI|BOMBOM PAPAI|BOMBA PAI|BOMOM PAPAI|MARU VAI SER MAMAE|PRIMEIRO FILHO DA MARU|PRIMEIRO FILHO DO BOMBA|PRIMERIO FILHO MARU E BOMBA|PRIMEIRO FILHO MARU E BOMBOM","611236","62750","907","11089","https://i.ytimg.com/vi/FjEd6WGcmrg/default.jpg","False","False","Nós somos a Maru e o Bomba e no vídeo de hoje  ESTOU GRÁVIDA !! Fizemos o teste de farmácia de gravidez com vocês por que a Maru estava sentindo muito enjoo. E tivemos a maior surpresa e a alegria das nossas vidas. LINK DO CANAL BLOG DAS IRMÃS: https://www.youtube.com/blogdasirmas👇 ASSISTA TAMBÉM:FIZEMOS UM BROWNIE DE PIZZA: https://www.youtube.com/watch?v=bcKT75Sm7UkTESTANDO TRUQUES DE COMIDAS DO TIKTOK !! FOOD HACKS : https://www.youtube.com/watch?v=hh5Kc76Z3fI--------------------------------------------------------------------------------------🌈 INSTAGRAM E TIKTOK DA MARU : @maru_tuzaki🌈 INSTAGRAM E TIKTOK DO BOMBA : @kubiczewski--------------------------------------------------------------------------------------💌 E-MAIL  PARA CONTATO:  maruebomba@gmail.com📬 NOSSA CAIXA POSTAL: Nº 58 CEP 19700.970 Paraguaçu Paulista - SP"
"H5_v52Pt8qA","Pequenos Grandes Heróis | Teaser Oficial | Netflix Brasil","2020-11-19T17:00:01Z","UCc1l5mTmAv2GC_PXrBpqyKQ","Netflix Brasil","24","20.20.11","Pequenos Grandes Heróis|Pequenos Grandes Heróis Netflix|Netflix|Pequenos Grandes Heróis teaser|Pequenos Grandes Heróis trailer|Lavagirl|Sharkboy|Larvagirl e Sharkboy|lavagirl e sharkboy 2021|lavagirl e sharkboy filme|lavagirl netflix|sharkboy netflix|filmes netflix 2021|lançamentos netflix 2021","506311","28154","651","1912","https://i.ytimg.com/vi/H5_v52Pt8qA/default.jpg","False","False","O tempo passou e Lavagirl e Sharkboy cresceram, formaram uma família e estão de volta num novo filme. Uma nova geração de heróis está por vir. Pequenos Grandes Heróis estreia no dia 1 de janeiro. Inscreva-se: https://bit.ly/31ynwtwSobre a Netflix:A Netflix é o principal serviço de entretenimento por streaming do mundo. São mais de 195 milhões de assinaturas pagas em mais de 190 países assistindo a séries, documentários e filmes de diversos gêneros e idiomas. O assinante Netflix pode assistir a quantos filmes e séries quiser, quando e onde quiser, em praticamente qualquer tela com conexão à internet. O assinante pode assistir, pausar e voltar a assistir a um título sem comerciais e sem compromisso.Pequenos Grandes Heróis | Teaser Oficial | Netflix Brasilhttps://youtube.com/NetflixBrasil"
"QKPGtakwU5M","Espetinho (Ao Vivo)","2020-11-20T00:05:45Z","UC1a6QMzU-em9TFB4OBsT52g","Gusttavo Lima - Topic","10","20.20.11","Gusttavo Lima|The Legacy - Season I|Espetinho","129744","8561","89","367","https://i.ytimg.com/vi/QKPGtakwU5M/default.jpg","False","False","Provided to YouTube by Sony Music EntertainmentEspetinho (Ao Vivo) · Gusttavo LimaThe Legacy - Season I℗ 2020 Sony Music Entertainment Brasil ltda. sob licença exclusiva de Balada Eventos e Produção ltda.Released on: 2020-11-19Composer: Os ParazimComposer: PachecoComposer: Junior SilvaProducer: Reinaldo MeirellesAuto-generated by YouTube."
